"Current License Status","Legal Name of Entity","Mailing Address","City, State & Zip Code","Dealer License","Warehouse Keeper License","Comments / Conditional Licenses","Dealer - Required Disclosure to Producers","Warehouse Keeper - Required Disclosure to Depositors"
"Dealer Only","Stonebridge, Ltd.","3411 Midway Dr.","Cedar Falls, IA 50613","329067","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","StoneX Commodity Solutions LLC","1251 NW Briarcliff Pkwy","Kansas City, MO 64116-1786","547224","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Stutzman, John E.","N5527 Division Ave.","Chili, WI 54420","511773","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Sunrise Foods International (USA) Inc.","306 Queen St. Suite 200","Saskatoon, SK","331511","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Suring Farmers Mercantile Company","PO Box 276","Suring, WI 54174","197920","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Warehouse & Dealer","Synergy Community Cooperative","PO Box 155","Ridgeland, WI 54763","188041","188206","","ATCP 99.14(2)(b)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Tarkowski Grain & Roasting, LLC","3377 S County Road T","Denmark, WI 54208","199297","214844","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Tisch Mills Farm Center, Inc.","PO Box 236","Tisch Mills, WI 54240","188027","188182","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","TMV Feed and Supply, LLP","12207 Mill Rd.","Kiel, WI 53042","187952","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Total Grain Services, LLC","2730 Poplar St.","Wrightstown, WI 54180","187931","188157","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Townline Feeds, LLC","N3750 Clover Rd.","Antigo, WI 54409","522150","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Tweet, James A.","N50704 County Highway Y","Eleva, WI 54738","302288","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Two Y Hilltop, LLC","916 15th Ave.","Bloomer, WI 54724","499457","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","United Cooperative","N7160 Raceway Rd.","Beaver Dam, WI 53916","187858","","","ATCP 99.14(2)(b)","Federal License"
"Dealer Only","United Wisconsin Grain Producers LLC","PO Box 247","Friesland, WI 53935-0247","188001","","","ATCP 99.14(2)(b)","n/a"
"Warehouse & Dealer","Universal Co-operative Association","PO Box 9","Lebanon, WI 53047","187936","188156","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Van De Loo Feed & Grain","N2455 Ridge Creek Ct.","Kaukauna, WI 54130","331287","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Warehouse & Dealer","Van Groll, Inc.","N1515 Vanden Broek Rd.","Kaukauna, WI 54130","187847","188115","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","VP Holdings Corporation","PO Box 259126","Madison, WI 53725","187929","","","ATCP 99.14(2)(b)","Federal License"
"Warehouse & Dealer","Walsh Grain Farms, Inc.","N3092 Highway 12","Mauston, WI 53948","187836","188121","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","West Bend Elevator, Inc.","PO Box 408","West Bend, WI 53095","187819","188173","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Westdale Farm, LLC","1854 190th St.","Centuria, WI 54824","271766","271639","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Wheaton Grain, Inc.","5852 County Highway T","Chippewa Falls, WI 54729","296357","296355","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse Only","Wiese Brothers Farms","7043 Bunker Hill Rd.","Greenleaf, WI 54126","","248090","","n/a","ATCP 99.26(2)(a)"
"Dealer Only","Willow Creek Grain, LLC","N2084 State Road 49","Berlin, WI 54923","522988","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Wisco Frozen Foods, Inc.","PO Box 128","Abbotsford, WI 54405","187953","222552","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Wolters Farm, Inc.","24548 Center Dr.","Belmont, WI 53510","263475","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","World Food Processing, L.L.C.","811 Glenwood Ave. Ste 230","Minneapolis, MN 55405","331843","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Zahn's Farms, LLC","11620 County Road H","Gillett, WI 54124","536748","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Zimmerman, Randy","W3962 County Road W","Belleville, WI 53508","196807","","","ATCP 99.14(2)(a)","n/a"
"","","","","","","","",""
"","","","","","","","",""
"","","","","205.0","83.0","","",""
