name,city,state,phone,address,host,url,why,source
"HighLine Grain Growers, Inc",Farmer,WA,509-745-8142,,highlinegraingrowers.com,https://highlinegrain.com/,highlinegraingrowers.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (340688 bytes),barchart
ALCIVIA,Evansville,WI,608-882-2621,,alcivia.com,https://www.alcivia.com/,alcivia.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (132092 bytes),barchart
ALCIVIA,Fall River,WI,608.819.3475,,alcivia.com,https://www.alcivia.com/,alcivia.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (132092 bytes),barchart
ALCIVIA,Menomonie,WI,715-231-8947,,alcivia.com,https://www.alcivia.com/,alcivia.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (132092 bytes),barchart
ALCIVIA,Mondovi,WI,715-926-3646,,alcivia.com,https://www.alcivia.com/,alcivia.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (132092 bytes),barchart
ALCIVIA,New Richmond,WI,715.246.9580,,alcivia.com,https://www.alcivia.com/,alcivia.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (132092 bytes),barchart
ALCIVIA,Whitewater,WI,262-473-2410,,alcivia.com,https://www.alcivia.com/,alcivia.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (132092 bytes),barchart
ALCIVIA,Cottage Grove,WI,608-819-3170,,alcivia.com,https://www.alcivia.com/,alcivia.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (132092 bytes),barchart
Aztalan Bio LLC,Johnson Creek,WI,(920)515-0578,,aztalanbio.com,https://www.aztalanbio.com/,aztalanbio.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (26192 bytes),barchart
Badger Grain Supply,Wheeler,WI,715.632.2319 x3,,badgergrain.com,https://badgergrain.com/,badgergrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (30936 bytes),barchart
"Badger Grain Supply, LLC",Wheeler,WI,,E5210 1040th Ave.,badgergrain.com,https://badgergrain.com/,badgergrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (30936 bytes),registry-wi
"Badger State Ethanol, LLC",Monroe,WI,,820 W 17th St.,badgerstateethanol.com,https://badgerstateethanol.com/,badgerstateethanol.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (38379 bytes),registry-wi
Country Visions Coop,Chilton,WI,920-849-9213 ,,countryvisionscoop.com,https://www.countryvisionscoop.com/,countryvisionscoop.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (89209 bytes),barchart
Country Visions Coop,Readfield,WI,920-667-4955,,countryvisionscoop.com,https://www.countryvisionscoop.com/,countryvisionscoop.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (89209 bytes),barchart
"Cloverleaf Farm Supply, LLC",Cadott,WI,,127 Elm St.,cloverleaffarmsupply.com,https://cloverleaffarmsupply.com/,cloverleaffarmsupply.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 3 word(s) of the business name appear (124039 bytes),registry-wi
Eau Galle Grain Company LLC,Eau Galle,WI,,N435 State Road 25,eaugallegrain.com,https://eaugallegrain.com/,eaugallegrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (116895 bytes),registry-wi
Insight FS,Jefferson,WI,9206477000,,insightfs.com,https://fscooperatives.com/insightfs,insightfs.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 1 word(s) of the business name appear (151628 bytes),barchart
Midwest Commodity Services Inc.,Baldwin,WI,715-246-5573,,midwestcommodity.com,https://midwestcommodity.com/,midwestcommodity.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (31052 bytes),barchart
"Meyer Brothers Grain, Inc.",Elk Mound,WI,,N5406 970th St.,meyerbrothersgrain.com,http://meyergrain.com/,meyerbrothersgrain.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (51252 bytes),registry-wi
"Quality Roasting, Inc.",Owen,WI,920-775-4908,,qualityroasting.com,https://www.qualityroasting.com/,qualityroasting.com: the phone we hold is NOT on the page; the street address is not on the page; the town is named; the state is named; 2 word(s) of the business name appear (66988 bytes),barchart
