name,city,state,county,phone,address,licences,capacity,licensedBy,outOfState,source
POET Biorefining,Fairbank,IA,,(319) 326-0600,,,,,,barchart
POET Biorefining,Gowrie,IA,,515-352-2612,,,,,,barchart
POET Biorefining,Iowa Falls,IA,,(641) 630-1599,,,,,,barchart
POET Biorefining,Jewell,IA,,515-827-6050,,,,,,barchart
POET Biorefining,Menlo,IA,,(641) 860-4300,,,,,,barchart
POET Biorefining,Shell Rock,IA,, (319) 820-2600,,,,,,barchart
"Poet Grain, LLC",Emmetsburg,IA,Palo Alto,712-852-8700,,dealer,,,,registry-ia
"Prairie Ag Commodities, Inc.",Mount Union,IA,Henry,319-865-1450,,dealer,,,,registry-ia
Premium Feed & Grain,Brunsville,IA,,712-533-6514,,,,,,barchart
"Premium Feed & Grain, Inc",Brunsville,IA,Plymouth,712-533-6514,,warehouse+dealer,,,,registry-ia
Preston Ag & Storage Inc.,Preston,IA,Jackson,563-689-5881,,warehouse,,,,registry-ia
Pro Cooperative,Pocahontas,IA,Pocahontas,712-335-3060,,dealer,,,,registry-ia
Pro Cooperative,Eagle Grove,IA,,(515) 448-4711,,,,,,barchart
Pro Cooperative,Manson,IA,, 800-788-3383,,,,,,barchart
Pro Cooperative,Pioneer,IA,,515-373-6513,,,,,,barchart
Producers Livestock Marketing Association,Sioux City,IA,Woodbury,712-274-0539,,dealer,,,,registry-ia
PROFESSIONAL AG HEDGING LLC,SHELDON,IA,,,,dealer+warehouse,,,,registry-sd
"Professional Ag Hedging, LLC",Luverne,IA,Rock,5074492030,,dealer,,,,registry-ia
"Provision Feed, Inc.",Diagonal,IA,Ringgold,641-202-0502,,warehouse+dealer,,,,registry-ia
"Pruess Elevator, Inc.",Lowden,IA,Cedar,563-944-5580,,dealer,,,,registry-ia
"Quality Plus Feeds, Inc.",Saint Paul,IA,Lee,319-469-3167,,warehouse+dealer,,,,registry-ia
"Qualley Feed & Grain, Inc.",Jerico,IA,Chickasaw,641-394-4338,,warehouse+dealer,,,,registry-ia
Radcliffe Cooperative,Radcliffe,IA,,515-899-2101,,,,,,barchart
Readlyn Shell Rock Coop,Readlyn,IA,,319-279-3396,,,,,,barchart
Readlyn Shell Rock Coop,Shell Rock,IA,,319-885-4391,,,,,,barchart
"Red Star Feeds, L.L.C.",Corning,IA,Adams,641-322-4021,,dealer,,,,registry-ia
"Reiff Grain & Feed, Inc.",Fairfield,IA,Jefferson,641-472-4136,,warehouse,,,,registry-ia
Rembrandt Foods Holdings LLC d/b/a REI Enterprises LLC,Rembrandt,IA,Buena Vista,712-286-6000,,dealer,,,,registry-ia
"Remington Seeds, LLC- Harlan, IA",Harlan,IA,Shelby,(712) 755-3199,1418B Hwy 44 East,dealer+warehouse,,,,registry-mo
"Renaud Feed Center, Inc.",Lynnville,IA,Jasper,641-527-2400,,warehouse,,,,registry-ia
Rex Feed and Elevator Co.,Lowden,IA,Cedar,563-941-5385,,warehouse+dealer,,,,registry-ia
Ries Ag Marketing LLC,Ryan,IA,Delaware,563-932-2646,,dealer,,,,registry-ia
River Valley Cooperative,Davenport,IA,Scott,563-285-7820,,dealer,,,,registry-ia
River Valley Cooperative,DeWitt,IA,,563-659-8179,,,,,,barchart
River Valley Cooperative,Donahue,IA,,563-282-9618 ,,,,,,barchart
River Valley Cooperative,Martelle,IA,,319-482-3101,,,,,,barchart
River Valley Cooperative,Olin,IA,,319-484-2341,,,,,,barchart
River Valley Cooperative,Ryan,IA,,563-932-2101,,,,,,barchart
RIVER VALLEY COOPERATIVE,DAVENPORT,IA,,,,dealer+warehouse,,,,registry-sd
RIVER VALLEY COOPERATIVE,ELDRIDGE,IA,,,,dealer,"90,000",,,registry-ne
"Riverside Grain & Feed Company, Inc.",Riverside,IA,Washington,319-648-2341,,warehouse+dealer,,,,registry-ia
Rock Falls Grain Co.,Rock Falls,IA,Cerro Gordo,641-696-5995,,warehouse,,,,registry-ia
Rossie Feed and Grain Company,Rossie,IA,Clay,712-262-3138,,warehouse+dealer,,,,registry-ia
Schmadeke Feed Mill,Clarksville,IA,,3192784335,,,,,,barchart
"Schmadeke Feed Mill, Inc.",Clarksville,IA,Butler,319-278-4335,,warehouse+dealer,,,,registry-ia
Schmidt Merchandising Inc.,De Witt,IA,Clinton,563-522-2121,,warehouse,,,,registry-ia
Seaboard Foods,Iowa Falls,IA,,(641) 648-5020,,,,,,barchart
"Seaboard Grain of Iowa, LLC",Iowa Falls,IA,Hardin,620-593-1573,,dealer,,,,registry-ia
"Shell Rock Soy Origination, LLC",Shell Rock,IA,Butler,319-419-6321,,dealer,,,,registry-ia
Shell Rock Soy Processing LLC,Shell Rock,IA,,319-419-6329,,,,,,barchart
Shellsburg Elevator,Shellsburg,IA,Benton,319-436-2251,,warehouse,,,,registry-ia
SilverEdge Cooperative,Edgewood,IA,Clayton,563-928-6419,,warehouse+dealer,,,,registry-ia
SilverEdge Cooperative,Edgewood,IA,,563-928-6419,,,,,,barchart
"Sinclair Elevator Co., LLC",Parkersburg,IA,Butler,319-346-1954,,warehouse,,,,registry-ia
Sioux Feed LLC,Sioux Center,IA,Sioux,712-722-0711,,dealer,,,,registry-ia
Siouxland Energy Cooperative,Sioux Center,IA,Sioux,712-722-4904,,dealer,,,,registry-ia
Siouxland Energy Cooperative,Sioux Center,IA,,712-722-4904,,,,,,barchart
SIOUXLAND ENERGY COOPERATIVE,SIOUX CENTER,IA,,,,dealer+warehouse,,,,registry-sd
Smith Feeder Supply Inc.,Leon,IA,Decatur,641-446-4521,,warehouse+dealer,,,,registry-ia
Smith Fertilizer and Grain Company,Knoxville,IA,Marion,641-828-8500,,warehouse+dealer,,,,registry-ia
"Snittjer Grain Company, Inc.",Wellsburg,IA,Grundy,641-869-3755,,warehouse,,,,registry-ia
Southeast Iowa Grain Corporation II,Yarmouth,IA,Des Moines,319-868-7990,,dealer,,,,registry-ia
Southwest Iowa Renewable Energy,Council Bluffs,IA,,712-366-0392,,,,,,barchart
"Southwest Iowa Renewable Energy, LLC",Council Bluffs,IA,Pottawattamie,712-352-5045,,dealer,,,,registry-ia
Sovereign Grain Inc.,Cresco,IA,Howard,563-547-4120,,warehouse+dealer,,,,registry-ia
"Sperry Union Store, Inc.",Sperry,IA,Des Moines,319-985-2169,,warehouse,,,,registry-ia
Spillville Mill,Spillville,IA,Fayette,563-562-3158,,warehouse+dealer,,,,registry-ia
St. Ansgar Mills,St. Ansgar,IA,,641-713-4341,,,,,,barchart
"St. Ansgar Mills, Inc.",Saint Ansgar,IA,Mitchell,641-713-4520,,dealer,,,,registry-ia
"St. Olaf Ag Sales & Service, Inc.",Saint Olaf,IA,Clayton,563-783-2626,,warehouse+dealer,,,,registry-ia
StateLine Cooperative,Burt,IA,Kossuth,515-924-3555,,warehouse+dealer,,,,registry-ia
StateLine Cooperative,Armstrong,IA,,712-868-3150,,,,,,barchart
StateLine Cooperative,Lakota ,IA,,515-886-2461,,,,,,barchart
StateLine Cooperative,Ledyard,IA,,515-646-2135,,,,,,barchart
StateLine Cooperative,Swea City ,IA,,515-272-4406,,,,,,barchart
"Steve's Farm Supply, Inc.",Iowa City,IA,Johnson,319-683-2217,,warehouse+dealer,,,,registry-ia
Stine Seed Company,Adel,IA,Dallas,(515) 677-2605,22555 Laredo Trail,dealer+warehouse,,,,registry-mo
Stockport Elevator,Stockport,IA,Van Buren,319-796-2157,,dealer,,,,registry-ia
"Stonebridge, Ltd.",Cedar Falls,IA,Black Hawk,319-404-8612,,dealer,,,,registry-ia
"Stonebridge, Ltd.",Cedar Falls,IA,,,3411 Midway Dr.,dealer+warehouse,,,,registry-wi
"STONEBRIDGE, LTD., DBA STONEBRIDGE AG MARKETING LTD",CEDAR FALLS,IA,,,,dealer,"318,000",,,registry-ne
Stoner Grain Incorporated,Mount Vernon,IA,Linn,319-895-6003,,dealer,,,,registry-ia
STONEX COMMODITY SOLUTIONS LLC,WEST DES MOINES,IA,,,,dealer,"1,000,000",,,registry-ne
Tama Benton Coop,Cedar Rapids,IA,,319-476-3666,,,,,,barchart
Tama Benton Coop,Cedar Rapids,IA,,319-476-3666,,,,,,barchart
Tama Benton Coop,Clutier,IA,,319-479-2242,,,,,,barchart
Tama Benton Coop,Dysart,IA,,319-476-3666,,,,,,barchart
Tama Benton Coop,Shell Rock,IA,,N/A,,,,,,barchart
Tama Benton Coop,Steamboat Rock,IA,,N/A,,,,,,barchart
Tama Benton Coop,Vinton,IA,,319-472-4791,,,,,,barchart
Tama-Benton Cooperative Company,Dysart,IA,Tama,319-476-3666,,dealer,,,,registry-ia
"Ten Napel Bros., Inc.",Ireton,IA,Sioux,712-278-2252,,warehouse+dealer,,,,registry-ia
"Terra Products Company, LLC",Iowa City,IA,Johnson,319-338-2280,,warehouse+dealer,,,,registry-ia
Tettens Grain,Clinton,IA,,N/A,,,,,,barchart
The Andersons,Denison,IA,,712-263-2676,,,,,,barchart
"The Andersons, Inc.",Denison,IA,Crawford,712-263-2676,,dealer,,,,registry-ia
"The Feed & Grain Store, Inc.",De Witt,IA,Clinton,563-659-9236,,warehouse+dealer,,,,registry-ia
"The Mill, Inc.",Colwell,IA,Floyd,641-228-4771,,warehouse+dealer,,,,registry-ia
"The Mill, Inc.",Colwell,IA,,641-228-4771,,,,,,barchart
The Scoular Company,Hancock,IA,Pottawattamie,712-741-5437,,dealer,,,,registry-ia
The Scoular Company,Emerson,IA,,712-824-7307,,,,,,barchart
The Scoular Company,Griswold,IA,,712-778-2701,,,,,,barchart
The Scoular Company,Hancock,IA,,712-741-5437,,,,,,barchart
The Scoular Company,Harlan,IA,,712-755-3192,,,,,,barchart
The Tri-County Grain Corporation,Eldon,IA,Wapello,641-652-7892,,warehouse+dealer,,,,registry-ia
"Troy Elevator, Inc.",Bloomfield,IA,Davis,641-664-1919,,warehouse+dealer,,,,registry-ia
Two Rivers Coop IA,Monroe,IA,,641-259-2232,,,,,,barchart
Two Rivers Coop IA,Otley,IA,,641-627-5311,,,,,,barchart
Two Rivers Coop IA,Pella,IA,,641-628-4167,,,,,,barchart
Two Rivers Cooperative,Pella,IA,Marion,641-628-4167,,dealer,,,,registry-ia
United Cooperative,Webster City,IA,Hamilton,515-832-6373,,dealer,,,,registry-ia
United Cooperative Webster City,Webster City,IA,,515-832-2270,,,,,,barchart
Unknown,Cedar Rapids,IA,,N/A,,,,,,barchart
"Valero Grain Marketing, LLC",Albert City,IA,Buena Vista,712-843-5100,,dealer,,,,registry-ia
"Valero Grain Marketing, LLC",Charles City,IA,Floyd,641-715-3000,,dealer,,,,registry-ia
"Valero Grain Marketing, LLC",Fort Dodge,IA,Webster,515-955-5019,,dealer,,,,registry-ia
"Valero Grain Marketing, LLC",Hartley,IA,O'Brien,712-928-5820,,dealer,,,,registry-ia
"Valero Grain Marketing, LLC",Lakota,IA,Kossuth,515-886-2222,,dealer,,,,registry-ia
"Valley Ag, Inc.",New Albin,IA,Allamakee,563-544-4242,,warehouse,,,,registry-ia
"Valley Feed And Seed, Inc.",Rock Valley,IA,Sioux,712-476-2723,,warehouse+dealer,,,,registry-ia
Vantiger Farm Market LLC,Mount Union,IA,Henry,319-865-4361,,dealer,,,,registry-ia
VERBIO North America LLC,Nevada,IA,,866-307-4777,,,,,,barchart
"VERBIO North America, LLC",Nevada,IA,Story,866-306-4777,,dealer,,,,registry-ia
Versova Grain,Sioux Center,IA,,(712)-330-7877,,,,,,barchart
Versova Grain,Thompson,IA,,(712)-330-7877,,,,,,barchart
Versova Management Cooperative,Sioux Center,IA,Sioux,507-840-0046,,dealer,,,,registry-ia
Viserion Grain Company,McGregor,IA,,N/A,,,,,,barchart
"Visser Elevator, Inc.",Sioux Center,IA,Sioux,712-722-0661,,dealer,,,,registry-ia
"Visser Elevator, Inc.",Sioux Center,IA,,712-722-0661,,,,,,barchart
"W. C. Gretter and Sons, Inc.",Harper,IA,Keokuk,641-635-2174,,warehouse+dealer,,,,registry-ia
"Wapello County Grain, Inc.",Ottumwa,IA,Wapello,641-934-5432,,warehouse+dealer,,,,registry-ia
"Waucoma Grain, Inc.",Alpha,IA,Fayette,563-429-2454,,warehouse,,,,registry-ia
"Waukon Feed Ranch, Inc.",Waukon,IA,Allamakee,563-568-4472,,warehouse+dealer,,,,registry-ia
"Webb's Feed, Inc.",Rockwell City,IA,Calhoun,712-297-8921,,warehouse+dealer,,,,registry-ia
"Welch, Inc.",Waukon,IA,Allamakee,563-568-6232,,warehouse+dealer,,,,registry-ia
Wellman Produce Co.,Wellman,IA,Washington,319-646-6073,,warehouse+dealer,,,,registry-ia
"Wenck Feeds, Incorporated",Lidderdale,IA,Carroll,712-822-5555,,warehouse,,,,registry-ia
"Werner's Grain & Feed, LLC",Tama,IA,Tama,641-484-2621,,dealer,,,,registry-ia
"White River CRESTON, LLC",Creston,IA,Union,314-222-8218,,dealer,,,,registry-ia
"World Food Processing, LLC dba Puris",Oskaloosa,IA,Mahaska,641-672-9651,,dealer,,,,registry-ia
"Ag Solution, Inc. dba Mountain Malt Idaho",Falls,ID,,,,dealer,,,,registry-id
"Amy's Kitchen, Inc.",Pocatello,ID,,,,dealer,,,,registry-id
"Busch Agricultural Resources, LLC Idaho",Falls,ID,,,,dealer,,,,registry-id
CB Procurement LLC,Pocatello,ID,,,,dealer,,,,registry-id
"CHS, Inc. dba CHS Primeland",Lewiston,ID,,,,dealer,,,,registry-id
Darwin Mingo dba White Pine Farms,Rockland,ID,,,,dealer,,,,registry-id
Evans Grain & Elevator dba Western Seeds,Burley,ID,,,,dealer,,,,registry-id
"Glen Capps, Inc.",Jerome,ID,,,,dealer,,,,registry-id
"Grain Craft, Inc.",Blackfoot,ID,,,,dealer,,,,registry-id
Great Western Malting Co.,Blackfoot,ID,,,,dealer,,,,registry-id
Highland Milling LLC,Bancroft,ID,,,,dealer,,,,registry-id
J.R. Simplot Company dba Western Stockmen's,Caldwell,ID,,,,dealer,,,,registry-id
"Johnson Grain, Inc.",Ririe,ID,,,,dealer,,,,registry-id
"Kelley Bean Company, Inc.",Rupert,ID,,,,dealer,,,,registry-id
"McNabb Grain, Inc.",Pocatello,ID,,,,dealer,,,,registry-id
Molson Coors Beverage Company,Burley,ID,,,,dealer,,,,registry-id
"Mountain States Oilseeds, LLC American",Falls,ID,,,,dealer,,,,registry-id
"Paciﬁc Northwest Farmers Cooperative, Inc.",Genesee,ID,,,,dealer,,,,registry-id
PNW Coop,Genesse ,ID,,208-285-1141,,,,,,barchart
"Pure Grain Commodities, LLC",Burley,ID,,,,dealer,,,,registry-id
"Rocky Mountain Merchandising & Feed Tech., Inc. Twin",Falls,ID,,,,dealer,,,,registry-id
"Scoular Company, The",Grace,ID,,,,dealer,,,,registry-id
"Talmage Elevator Holdings, Inc.",Bancroft,ID,,,,dealer,,,,registry-id
"The Andersons, Inc.",Bliss,ID,,,,dealer,,,,registry-id
United Grain Corporation of Oregon,Notus,ID,,,,dealer,,,,registry-id
ADM Grain,Creve Coeur,IL,,309-699-9581,,,,,,barchart
ADM Grain,Curran,IL,,217-483-2442,,,,,,barchart
ADM Grain,Decatur,IL,,217-451-8399,,,,,,barchart
ADM Grain,Decatur,IL,,217-451-2492,,,,,,barchart
ADM Grain,Havana,IL,,309-543-3392,,,,,,barchart
ADM Grain,Hennepin,IL,,Mendota Office 815-5,,,,,,barchart
ADM Grain,Hoopeston,IL,,217-283-5147,,,,,,barchart
ADM Grain,Hume,IL,,217-887-2514,,,,,,barchart
ADM Grain,Lacon,IL,,309-246-2515,,,,,,barchart
ADM Grain,Macon,IL,,217-764-3345,,,,,,barchart
ADM Grain,Mt. Auburn,IL,,217-676-3811,,,,,,barchart
ADM Grain,Niantic,IL,,217-668-2345,,,,,,barchart
ADM Grain,Oakland,IL,,217-346-2141,,,,,,barchart
ADM Grain,Ottawa,IL,,815-433-3000,,,,,,barchart
ADM Grain,Spring Valley,IL,,815-663-2850,,,,,,barchart
ADM Grain,Sullivan,IL,,217-728-2554,,,,,,barchart
ADM Grain,Taylorville,IL,,217-824-5579,,,,,,barchart
ADM Grain,Tuscola,IL,,217-253-3389,,,,,,barchart
ADM Grain Co. – Helena Elevator,Decatur,IL,,,,warehouse,,,,registry-ar
"ADM Rice- Mound City, IL",Mound City,IL,Pulaski,(800) 527-5281,300 Enterprise StreetPO Box 138,dealer+warehouse,,,,registry-mo
ADM- NEMO Direct Ship,Quincy,IL,Adams,(217) 221-0585,2100 Gardner Expressway,dealer+warehouse,,,,registry-mo
AgRail LLC ,Bloomington,IL,,309-828-8600,,,,,,barchart
ALL STAR TRADING,SCHAUMBURG,IL,,,,dealer,"63,000",,,registry-ne
All Star Trading Inc.,Oak Brook,IL,,,1750 E Golf Rd. Suite 388,dealer+warehouse,,,,registry-wi
ALL STAR TRADING INC.,SCHAUMBURG,IL,,,,dealer+warehouse,,,,registry-sd
"All Star Trading, Inc.",Schaumburg,IL,Du Page,(847) 375-8675,1750 E. Golf RdSuite 388,dealer+warehouse,,,,registry-mo
Alliance Grain Co.,Anchor,IL,,309-723-2091,,,,,,barchart
Alliance Grain Co.,Bellflower,IL,,309-722-3216,,,,,,barchart
Alliance Grain Co.,Cabery,IL,,815-949-1672,,,,,,barchart
Alliance Grain Co.,Cullom,IL,,815-689-2130,,,,,,barchart
Alliance Grain Co.,Gibson City,IL,,217-784-5402,,,,,,barchart
Alliance Grain Co.,Reddick,IL,,217-722-7118,,,,,,barchart
Alliance Grain Co.,Sibley,IL,,217-745-2336,,,,,,barchart
"Alto Ingredients, Inc.",Pekin,IL,,(916) 403-2123,,,,,,barchart
Assumption Coop,Assumption,IL,,(217) 226-3213,,,,,,barchart
Assumption Coop,Owaneco,IL,,(217) 879-2363,,,,,,barchart
Assumption Coop,Palmer,IL,, (217) 526-3114,,,,,,barchart
Assumption Coop,Pana,IL,,800-252-6542,,,,,,barchart
Assumption Coop,Westervelt,IL,,(217) 738-2321,,,,,,barchart
Atkinson Grain & Fertilizer Inc.,Hennepin,IL,,309-936-7177,,,,,,barchart
B.A.B. Grain,Auburn,IL,,217-438-3316,,,,,,barchart
B.A.B. Grain,Decatur,IL,,217-438-3316,,,,,,barchart
B.A.B. Grain,Waverly,IL,,217-438-3316,,,,,,barchart
"Balk Grain and Trucking, Inc.",Mt Carroll,IL,,N/A,,,,,,barchart
"Balk Grain and Trucking, Inc.",Savanna,IL,,N/A,,,,,,barchart
"Balk Grain and Trucking, Inc.",Thomson,IL,,(815) 259-4000,,,,,,barchart
"Bartlett Grain Company, LLC",South Jacksonville,IL,,217-243-0509,,,,,,barchart
"Bunge SCF Grain, LLC",Fairmont City,IL,St. Clair,(618) 271-2202,651 N. Front Street,dealer+warehouse,,,,registry-mo
Burtonview Coop,Lincoln,IL,,217-732-7949,,,,,,barchart
"Cargill SRR Elevators, E. St. Louis, IL",East St. Louis,IL,St. Clair,(618) 583-6228,430 S Front Street,dealer+warehouse,,,,registry-mo
Cargill US,Beardstown,IL,,217-909-3004,,,,,,barchart
Cargill US,Beardstown,IL,,217-909-3004,,,,,,barchart
Cargill US,Bloomington,IL,,217-784-1980,,,,,,barchart
Cargill US,Gibson City,IL,,217-784-1980,,,,,,barchart
Cargill US,Gibson City,IL,,217-784-1980,,,,,,barchart
Cargill US,Gilman,IL,,217-784-1980,,,,,,barchart
Cargill US,Havana,IL,,217-909-3004,,,,,,barchart
Cargill US,Lacon,IL,,815-705-9173,,,,,,barchart
Cargill US,Meredosia,IL,,217-909-3004,,,,,,barchart
Cargill US,Paris,IL,,217-466-7765,,,,,,barchart
Cargill US,Pittsfield,IL,,217-909-3004,,,,,,barchart
Central Commodity FS,Morrisonville,IL,,(217) 526-3123,,,,,,barchart
Central Commodity FS,Rosamond,IL,,217-562-2363,,,,,,barchart
Cereal Byproducts Company,Mt. Prospect,IL,,,601 E Kensington Rd.,dealer+warehouse,,,,registry-wi
Cereal Byproducts Company Mount,Prospect,IL,,,,dealer,,,,registry-id
CHS - Shipman Elevator,Shipman,IL,Macoupin,(618) 729-9009,3620 Rt. 16PO Box 349,dealer+warehouse,,,,registry-mo
CHS Illinois,Havana,IL,,N/A,,,,,,barchart
CHS Illinois,Shipman ,IL,,618-729-9009,,,,,,barchart
CHS Illinois,Waverly,IL,,217-435-9023,,,,,,barchart
"CIE NORFOLK GNS, LLC",MARION,IL,,,,dealer,"35,000",,,registry-ne
Cissna Park Co-op,Cissna Park,IL,,815-457-2181,,,,,,barchart
Consolidated Grain & Barge,Albany,IL,,3098875310,,,,,,barchart
Consolidated Grain & Barge,Dwight,IL,,(815) 584-1111,,,,,,barchart
Consolidated Grain & Barge,Fithian,IL,,2175482211,,,,,,barchart
Consolidated Grain & Barge,Freeport,IL,,(815) 233-1140,,,,,,barchart
Consolidated Grain & Barge,Hennepin,IL,,+1 815-667-5141,,,,,,barchart
Consolidated Grain & Barge,Homer,IL,,2178962494,,,,,,barchart
Consolidated Grain & Barge,Mt. Carroll,IL,,N/A,,,,,,barchart
Consolidated Grain & Barge,Naples,IL,,(217) 754-3331,,,,,,barchart
CONSOLIDATED GRAIN & BARGE CO.,MT CARROLL,IL,,,,dealer,"1,000,000",,,registry-ne
Consolidated Grain & Barge Co. - Cahokia,Cahokia,IL,St. Clair,(618) 748-9272,#3 Cargill Road,dealer+warehouse,,,,registry-mo
CONSOLIDATED GRAIN AND BARGE CO.,HENNEPIN,IL,,,,dealer+warehouse,,,,registry-sd
Danvers Farmers Elevator Company,Congerville,IL,,N/A,,,,,,barchart
Danvers Farmers Elevator Company,Danvers,IL,,N/A,,,,,,barchart
Danvers Farmers Elevator Company,Deer Creek,IL,,N/A,,,,,,barchart
Danvers Farmers Elevator Company,MacKinaw,IL,,N/A,,,,,,barchart
Deland Farmer's Grain ,Deland,IL,,217-664-3321,,,,,,barchart
Donovan Farmers Coop,Donovan,IL,,815-486-7325  ,,,,,,barchart
Eastland Feed & Grain Inc.,Albany,IL,,N/A,,,,,,barchart
Eastland Feed & Grain Inc.,Hennepin,IL,,N/A,,,,,,barchart
Eastland Feed & Grain Inc.,Lena,IL,,N/A,,,,,,barchart
Eastland Feed & Grain Inc.,Mt. Carroll,IL,,N/A,,,,,,barchart
Eastland Feed & Grain Inc.,Peru,IL,,N/A,,,,,,barchart
Eastland Feed & Grain Inc.,Savanna,IL,,N/A,,,,,,barchart
Eastland Feed & Grain Inc.,Savanna,IL,,N/A,,,,,,barchart
Eastland Feed & Grain Inc.,Shannon,IL,,N/A,,,,,,barchart
Eastland Feed & Grain Inc.,Stockton,IL,,N/A,,,,,,barchart
Eastland Feed & Grain Inc.,Warren,IL,,N/A,,,,,,barchart
"Eastland Feed and Grain, Inc.",Shannon,IL,,,PO Box 200,dealer+warehouse,,,,registry-wi
Elkhart Grain Company,Elkhart,IL,,217-947-2751,,,,,,barchart
Encompass Grain & Rail Co-op,Allen Station - San Jose,IL,,309-244-7541,,,,,,barchart
Encompass Grain & Rail Co-op,Delavan,IL,,309-244-7541,,,,,,barchart
Encompass Grain & Rail Co-op,Havana,IL,,309-244-7541,,,,,,barchart
Encompass Grain & Rail Co-op,Pekin,IL,,309-244-7541,,,,,,barchart
Evergreen FS,Bloomington,IL,,309-454-2406,,,,,,barchart
Evergreen FS,Downs,IL,,309-724-8312,,,,,,barchart
Evergreen FS,McLean,IL,,309-874-2771,,,,,,barchart
Farmers Cooperative Association - Varna,Varna,IL,,309-463-2061,,,,,,barchart
Farmers Grain Company of Dorans,Dorans,IL,,2172344955,,,,,,barchart
Farmers Grain of Central Illinois,Clinton,IL,,2179353271,,,,,,barchart
"Farmers Grain Service, Inc.",Grand Ridge,IL,,8152495515,,,,,,barchart
"Farmers Grain Service, Inc.",Grand Ridge,IL,,815-249-5515,,,,,,barchart
Franklin Elevator Inc.,Alexander,IL,,217-675-2393,,,,,,barchart
Franklin Elevator Inc.,Franklin,IL,,217-675-2393,,,,,,barchart
Franklin Elevator Inc.,Scottville,IL,,217-675-2393,,,,,,barchart
FS Grain,Albany,IL,,3098875310,,,,,,barchart
FS Grain,Bureau Junction,IL,,(800) 669-2437,,,,,,barchart
FS Grain,Grand Ridge,IL,,(815) 249 -6214,,,,,,barchart
FS Grain,Hennepin,IL,,(815) 925-7300,,,,,,barchart
FS Grain,Mazon,IL,,(815) 448-2175,,,,,,barchart
FS Grain,Ransom,IL,,(815) 586- 4221,,,,,,barchart
FS Grain,Savanna,IL,,(815) 900-7477,,,,,,barchart
Furst-McNess Company,Rockford,IL,,,1252 Bell Valley Rd. Suite 220,dealer+warehouse,,,,registry-wi
Grainland Farmers,Roanoke,IL,,309-923-3841,,,,,,barchart
Graymont Co-op Association,Graymont,IL,,815-743-5321,,,,,,barchart
"H & B Specialties, Inc.",Pleasant Plains,IL,Sangamon,(217) 626-1867,211 W Illinois Route 125,dealer+warehouse,,,,registry-mo
"H & B Specialties, Inc.",Naples,IL,,877-626-1867,,,,,,barchart
Hartsburg Grain Company,Hartsburg,IL,,217-642-5211,,,,,,barchart
"Hog, Inc.",Greenfield,IL,,217-368-2888,,,,,,barchart
"Hog, Inc.",Greenfield,IL,,217-368-2888,,,,,,barchart
"Hog, Inc.",Greenfield,IL,,217-368-2888,,,,,,barchart
Hudson Grain Co.,Hudson,IL,,309-726-1671,,,,,,barchart
JIM TRAUB TRADING LLC,MONTICELLO,IL,,,,dealer,"275,000",,,registry-ne
Legacy Grain Cooperative,Blue Mound,IL,,(217) 692-2141,,,,,,barchart
Litchfield Farmers Grain,Decatur,IL,,N/A,,,,,,barchart
Litchfield Farmers Grain,Fillmore,IL,,(217) 538-2496,,,,,,barchart
Litchfield Farmers Grain,Litchfield,IL,,(217) 324-3915,,,,,,barchart
Ludlow Coop,Buckley,IL,,(217) 394-2331,,,,,,barchart
Ludlow Coop,Danforth,IL,,(815) 269-2390 ,,,,,,barchart
Ludlow Coop,Gilman,IL,,(815) 265-7211 ,,,,,,barchart
Ludlow Coop,Goodwine,IL,,815-457-2880,,,,,,barchart
Ludlow Coop,Hoopeston,IL,,217-375-4410,,,,,,barchart
Ludlow Coop,Ludlow,IL,,(217) 396-4111,,,,,,barchart
Ludlow Coop,Milford,IL,,815-889-4422,,,,,,barchart
Ludlow Coop,Paxton,IL,,(217) 379-4366,,,,,,barchart
Ludlow Coop,Piper City,IL,,(815) 686-2297,,,,,,barchart
Ludlow Coop,Wellington,IL,,815-889-4530,,,,,,barchart
Maplehurst Farms,Seward,IL,,(815) 205-8495,,,,,,barchart
Marquis Energy,Hennepin,IL,,815-925-9590,,,,,,barchart
"Phil's Eggs, LLC",Pearl City,IL,,,968 South Kent Rd.,dealer+warehouse,,,,registry-wi
Prairie Central Coop,Chenoa,IL,,815-945-8513,,,,,,barchart
Prairie Central Coop,Chenoa,IL,,815-945-7866,,,,,,barchart
Prairie Central Coop,Dwight,IL,,815-584-2051,,,,,,barchart
Prairie Central Coop,Pontiac,IL,,815-844-3121,,,,,,barchart
Prairie Creek Grain,Papineau,IL,,(815) 428-7367,,,,,,barchart
"Prairieland FS, Inc.",Franklin,IL,,(217) 675-2288,,,,,,barchart
"Prairieland FS, Inc.",Murrayville,IL,,(217) 882-5221,,,,,,barchart
Premier Cooperative - IL,Champaign,IL,,N/A,,,,,,barchart
Premier Cooperative - IL,Dewey,IL,,217-897-1111,,,,,,barchart
Premier Cooperative - IL,Dillsburg,IL,,217-892-2200,,,,,,barchart
Premier Cooperative - IL,Fairmount,IL,,217-733-2178,,,,,,barchart
Premier Cooperative - IL,Farmer City,IL,,N/A,,,,,,barchart
Premier Cooperative - IL,Ivesdale,IL,,217-564-2271,,,,,,barchart
Premier Cooperative - IL,Jamaica,IL,,217-284-3292,,,,,,barchart
Premier Cooperative - IL,Mansfield,IL,,217-489-2251,,,,,,barchart
Premier Cooperative - IL,Rossville,IL,,217-748-6222,,,,,,barchart
